TS_ID,Q_ID,SA_ID,NT_ID,Location,Lat,Lon,Habitat,Status,Last_Activity,Tool_Count,NOTE
TS1,TS1_Q0,,A676,Coline de Mangue,7.649207021,-8.497624101,Primary,ACTIVE,0,10,
TS10,TS10_Q0,,A685,Champ de Quiindore,7.64776809,-8.495289619,THV,ACTIVE,0,9,
TS11,TS11_Q0,SA13,A686,Yeaton,7.653586311,-8.500923184,Secondary,ACTIVE,1,4,
TS12,TS12_Q0,,A687,S Buton,7.649276752,-8.499892127,Secondary,ACTIVE,0,12,
TS13,TS13_Q0,SA19,A688/A689,Kekopleh,7.637331786,-8.507359774,Primary,INACTIVE,3,13,
TS14,TS14_Q0,SA18,A690,Coline de Mangue. Chan de Seikleba,7.646170206,-8.49890849,Secondary,ACTIVE,0,8,
TS15,TS15_Q0,,A691,Salon de Tain,7.646690202,-8.499476132,Primary,ACTIVE,0,5,
TS16,TS16_Q0,SA10,A692,S Buton,7.648282964,-8.500166964,Primary,INACTIVE,3,6,
TS17,TS17_Q0,SA14,A693,Buton,7.649101607,-8.499774799,Primary,INACTIVE,3,21,
TS18,TS18_Q0,,A694,Buton,7.648945045,-8.499742059,Primary,ACTIVE,0,15,
TS19,TS19_Q0,,A695,Buton,7.648756053,-8.499595505,Primary,ACTIVE,1,12,
TS2,TS2_Q0,,A677,SE Buton,7.649550235,-8.498929424,Primary,ACTIVE,0,7,
TS20,TS20_Q0,,A696,Kekopleh,7.63752309,-8.506680498,Primary,INACTIVE,3,7,
TS21,TS21_Q0,,A697,Kekopleh,7.638627143,-8.505593662,Primary,INACTIVE,0,7,
TS22,TS22_Q0,,A698,Kekopleh,7.638533343,-8.505109905,Primary,ACTIVE,0,5,
TS23,TS23_Q0,,A699,Champ de Gouanou,7.638693434,-8.504371105,Primary,ACTIVE,1,10,
TS24,TS24_Q0,SA3,A700,Champ de Gouanou,7.638401775,-8.504100537,Primary,INACTIVE,3,6,
TS25,TS25_Q0,SA4,A701,Champ de Gouanou,7.638013553,-8.504014455,Primary,INACTIVE,3,3,SA5 ON NUT TREE
TS26,TS26_Q0,SA1,A745,Bleaton,7.637073194,-8.510277444,Grassland/Cultivation_field,INACTIVE,3,4,
TS27,TS27_Q0,,A746,S Buton,7.648762714,-8.50010969,Primary,ACTIVE,0,19,
TS28,TS28_Q0,,A748,Kekopleh,7.640350891,-8.505267865,Secondary,ACTIVE,0,28,
TS29,TS29_Q0,,A749,,7.649287805,-8.497413484,Primary,ACTIVE,0,7,
TS3,TS3_Q0,,A678,SE Buton,7.649720198,-8.498900499,Primary,ACTIVE,0,12,
TS30,TS30_Q0,,A750,Salon,7.643160173,-8.500543759,Primary,ACTIVE,0,10,
TS31,TS31_Q0,SA9(A),A778,Plc. De Français,7.641267111,-8.495608141,Secondary,INACTIVE,2,6,
TS32,TS32_Q0,SA9(B),A779,Plc. De Français,7.641142299,-8.495460753,Secondary,INACTIVE,2,2,
TS33,TS33_Q0,SA8,A780,Salon Mallu,7.64654704,-8.494796498,Secondary,INACTIVE,3,4,
TS34,TS34_Q0,SA6,A781,Champ de Kekopleh,7.640445668,-8.507000583,,INACTIVE,2,6,
TS35,TS35_Q0,SA15,A783,Champ de Kekopleh,7.640186512,-8.507087916,,INACTIVE,3,3,
TS36,TS36_Q0,,A784,Seiba,7.639303107,-8.507379425,Secondary,INACTIVE,3,6,possibly only 2 Tools
TS37,TS37_Q0,,A785,Coline de Mangue,7.647545882,-8.498881422,Secondary,ACTIVE,1,7,
TS38,TS38_Q0,,A708,"Camp de Café, derriere Eglise",7.647531384,-8.500746223,Secondary,INACTIVE,2,6,
TS39,TS39_Q0,,A786/A787,Champ de Gouanou,7.637676615,-8.503647571,Secondary,INACTIVE,3,6,
TS40,TS40_Q0,,A788,Champ de Gouanou,7.63772195,-8.504147352,Secondary,ACTIVE,0,9,
TS41,TS41_Q0,SA2,A800,Moblin,7.63723631,-8.510785276,Grassland/Cultivation_field,INACTIVE,3,17,
TS5,TS5_Q0,,A680,,7.647362213,-8.49438009,Grassland/Cultivation_field,ACTIVE,1,4,
TS6,TS6_Q0,SA11,A681,Salon Mallu,7.646481395,-8.494782808,Primary,ACTIVE,0,19,
TS7,TS7_Q0,,A682,,7.643910192,-8.492279764,THV,ACTIVE,0,5,
TS8,TS8_Q0,SA9,A683,Plc. De Français,7.642472719,-8.496199062,Primary,ACTIVE,1,15,
TS9,TS9_Q0,,A684,N Plc. De Français,7.642964054,-8.49690034,Primary,ACTIVE,1,11,
